zmw,1,2,3,4,5,6,7,8,9,10,11
m84046_240619_124816_s1/86576187/ccs,1,1,1,0,1,1,1,0,0,0,-1
m84046_240619_124816_s1/42140560/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/74192209/ccs,0,0,0,0,1,0,1,0,1,1,1
m84046_240619_124816_s1/215880298/ccs,1,0,1,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/96010625/ccs,0,0,0,1,0,0,1,0,0,0,1
m84046_240619_124816_s1/181212158/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/189926153/ccs,1,0,1,1,0,0,1,0,1,0,1
m84046_240619_124816_s1/38146008/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/124519978/ccs,0,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/126554713/ccs,1,0,0,1,0,1,1,0,0,1,1
m84046_240619_124816_s1/241632936/ccs,1,0,0,0,0,0,0,0,0,0,-1
m84046_240619_124816_s1/141038092/ccs,0,0,0,0,1,0,0,0,0,0,1
m84046_240619_124816_s1/180226390/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/92866589/ccs,1,1,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/255332104/ccs,1,1,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/176294334/ccs,0,0,0,1,0,0,0,1,1,1,1
m84046_240619_124816_s1/143459434/ccs,0,0,0,0,0,0,1,0,0,-1,-1
m84046_240619_124816_s1/129569848/ccs,1,0,1,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/20976837/ccs,1,0,0,1,0,1,0,1,0,1,1
m84046_240619_124816_s1/39128039/ccs,0,0,0,1,0,1,1,0,0,0,-1
m84046_240619_124816_s1/24774705/ccs,1,0,0,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/120261045/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/248649344/ccs,0,0,0,0,0,0,1,1,0,0,1
m84046_240619_124816_s1/93454983/ccs,1,1,0,0,0,0,1,0,0,1,1
m84046_240619_124816_s1/171902219/ccs,1,1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/188027701/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/128389263/ccs,-1,-1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/121640273/ccs,1,1,0,1,0,0,1,0,1,0,1
m84046_240619_124816_s1/43060643/ccs,1,1,0,0,0,1,1,0,0,1,1
m84046_240619_124816_s1/36700399/ccs,1,0,0,1,1,0,0,0,1,1,1
m84046_240619_124816_s1/53547643/ccs,0,0,0,1,1,0,0,0,1,0,1
m84046_240619_124816_s1/250286442/ccs,0,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/139265118/ccs,1,1,0,0,1,1,1,0,1,0,1
m84046_240619_124816_s1/68028877/ccs,1,0,0,1,0,0,1,0,0,0,1
m84046_240619_124816_s1/182256466/ccs,0,0,0,1,0,1,0,0,0,1,1
m84046_240619_124816_s1/110363273/ccs,0,0,0,0,0,1,1,0,1,1,1
m84046_240619_124816_s1/237835840/ccs,0,0,0,1,1,0,0,1,1,1,1
m84046_240619_124816_s1/107025822/ccs,1,0,0,0,1,0,0,0,1,0,-1
m84046_240619_124816_s1/214237557/ccs,0,0,0,0,0,0,1,0,1,0,1
m84046_240619_124816_s1/175574013/ccs,1,1,1,0,0,0,1,1,1,0,1
m84046_240619_124816_s1/250090572/ccs,0,0,0,0,1,0,0,0,0,0,1
m84046_240619_124816_s1/154145591/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/163842606/ccs,0,0,0,1,0,0,1,1,0,0,1
m84046_240619_124816_s1/138740944/ccs,0,0,1,1,1,0,0,0,0,0,1
m84046_240619_124816_s1/152830777/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/206769719/ccs,0,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/200018194/ccs,0,0,0,0,0,1,1,0,1,1,1
m84046_240619_124816_s1/135138608/ccs,0,0,0,0,1,0,0,1,0,0,1
m84046_240619_124816_s1/95945682/ccs,0,0,1,1,0,0,0,0,-1,-1,1
m84046_240619_124816_s1/239865770/ccs,1,1,1,1,0,0,0,1,0,0,1
m84046_240619_124816_s1/41293316/ccs,1,1,0,0,1,0,1,0,0,-1,-1
m84046_240619_124816_s1/200606699/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/92342244/ccs,1,0,0,0,0,0,0,1,0,0,-1
m84046_240619_124816_s1/83628467/ccs,1,0,0,1,0,0,0,0,0,0,0
m84046_240619_124816_s1/168694926/ccs,0,0,0,1,0,1,1,1,0,0,1
m84046_240619_124816_s1/146866873/ccs,0,0,0,1,0,0,1,0,0,0,1
m84046_240619_124816_s1/57541761/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/40896976/ccs,1,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/110431986/ccs,0,0,1,0,0,0,1,0,0,1,1
m84046_240619_124816_s1/97060868/ccs,0,0,0,1,0,0,0,1,1,0,1
m84046_240619_124816_s1/42274776/ccs,0,1,1,1,1,0,0,0,1,0,1
m84046_240619_124816_s1/171247991/ccs,1,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/211553569/ccs,0,0,0,0,0,1,1,0,0,0,1
m84046_240619_124816_s1/97127340/ccs,1,1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/234423004/ccs,1,1,0,1,0,1,0,0,0,1,1
m84046_240619_124816_s1/85265559/ccs,0,0,1,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/139400621/ccs,1,1,0,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/193792622/ccs,0,0,0,0,1,0,1,0,0,0,-1
